raw_movie_id,mapped_movie_id
3186,1
1022,2
1270,3
1721,4
2340,5
1836,6
3408,7
1207,8
2804,9
260,10
720,11
1193,12
919,13
608,14
2692,15
1961,16
2028,17
3105,18
938,19
1035,20
1962,21
150,22
1028,23
2018,24
1097,25
914,26
1287,27
2797,28
1246,29
2762,30
661,31
2918,32
531,33
3114,34
2791,35
1029,36
2321,37
594,38
1197,39
2398,40
1545,41
527,42
1,43
588,44
595,45
745,46
2687,47
783,48
2294,49
2355,50
1566,51
1907,52
48,53
1198,54
1210,55
1217,56
2717,57
1293,58
2943,59
1225,60
318,61
2858,62
3030,63
1213,64
1945,65
593,66
3095,67
515,68
1873,69
3468,70
1090,71
2501,72
110,73
2067,74
3035,75
1247,76
3147,77
1357,78
1196,79
1957,80
920,81
1953,82
1084,83
1834,84
3471,85
3654,86
3735,87
1259,88
1784,89
1954,90
1968,91
2728,92
902,93
1103,94
3451,95
2852,96
3334,97
3578,98
3068,99
265,100
2312,101
590,102
1253,103
3071,104
1244,105
3699,106
1245,107
1955,108
2236,109
3678,110
982,111
1442,112
2194,113
2268,114
3255,115
235,116
647,117
1096,118
498,119
1124,120
3893,121
1188,122
1537,123
2396,124
2359,125
356,126
1265,127
3108,128
3809,129
457,130
589,131
2571,132
163,133
380,134
480,135
1610,136
2916,137
3418,138
21,139
349,140
1408,141
1527,142
3256,143
2006,144
2353,145
1370,146
2278,147
648,148
2427,149
1372,150
1552,151
1792,152
780,153
1385,154
2490,155
165,156
368,157
459,158
1801,159
2881,160
3107,161
442,162
1597,163
1690,164
2628,165
3257,166
736,167
2002,168
292,169
2126,170
95,171
434,172
1544,173
1687,174
1917,175
3534,176
1431,177
1266,178
1378,179
1379,180
3671,181
2871,182
3168,183
1291,184
2167,185
1261,186
1580,187
1615,188
653,189
733,190
2115,191
2470,192
1049,193
552,194
2617,195
2735,196
1136,197
1394,198
2997,199
3421,200
1304,201
3619,202
1079,203
1641,204
3552,205
104,206
3868,207
2081,208
3527,209
1387,210
1201,211
2366,212
2947,213
1214,214
1240,215
3702,216
1036,217
2951,218
908,219
1250,220
1127,221
2188,222
2683,223
3051,224
2770,225
2908,226
3786,227
3016,228
1093,229
2759,230
2599,231
3113,232
2428,233
2959,234
3409,235
2333,236
2580,237
2607,238
2716,239
2318,240
2390,241
913,242
2723,243
2734,244
968,245
24,246
299,247
2013,248
1513,249
2560,250
2395,251
3081,252
2700,253
2806,254
3176,255
2070,256
2337,257
2721,258
2987,259
3793,260
3624,261
3514,262
3513,263
3744,264
3799,265
501,266
1243,267
1617,268
1046,269
3083,270
296,271
50,272
1089,273
1719,274
714,275
860,276
896,277
1192,278
1704,279
800,280
994,281
1554,282
1684,283
176,284
2289,285
3728,286
34,287
562,288
1730,289
1788,290
162,291
1912,292
1649,293
2282,294
41,295
728,296
1175,297
2437,298
36,299
581,300
2159,301
2291,302
1449,303
1171,304
3163,305
461,306
3267,307
32,308
1509,309
3046,310
39,311
1529,312
29,313
1095,314
3260,315
3499,316
1279,317
1500,318
1635,319
1650,320
1923,321
47,322
866,323
1734,324
215,325
3006,326
2323,327
2890,328
272,329
1535,330
1759,331
1594,332
1517,333
1885,334
16,335
1392,336
3100,337
1747,338
497,339
1466,340
2384,341
1732,342
2058,343
1729,344
2952,345
224,346
357,347
509,348
1429,349
321,350
348,351
412,352
1653,353
1715,354
6,355
1643,356
3020,357
3249,358
3476,359
1966,360
1268,361
3386,362
1794,363
377,364
506,365
202,366
194,367
1683,368
1722,369
1921,370
2725,371
3079,372
3266,373
1191,374
1897,375
1733,376
52,377
1909,378
353,379
551,380
229,381
2029,382
1485,383
1884,384
288,385
3072,386
912,387
1043,388
17,389
1441,390
1296,391
3685,392
1674,393
2100,394
1959,395
2802,396
1088,397
1101,398
2406,399
2469,400
3501,401
3524,402
569,403
1806,404
2082,405
2506,406
2966,407
838,408
199,409
364,410
1688,411
1030,412
1380,413
1947,414
3604,415
2017,416
3600,417
3610,418
266,419
383,420
1007,421
3074,422
3508,423
3682,424
3753,425
3536,426
3565,427
3717,428
1569,429
597,430
1221,431
1997,432
474,433
861,434
1573,435
111,436
3481,437
393,438
3265,439
555,440
1916,441
2699,442
2600,443
25,444
1059,445
1277,446
1735,447
1393,448
1639,449
2329,450
3252,451
2336,452
2686,453
3250,454
337,455
3148,456
58,457
73,458
1673,459
538,460
1120,461
1411,462
3246,463
161,464
508,465
2324,466
2442,467
1840,468
524,469
1660,470
1678,471
476,472
14,473
1682,474
2712,475
253,476
345,477
650,478
1589,479
2702,480
1621,481
1810,482
2541,483
269,484
